well,sample_id,depth_top,depth_bottom,depth,aft_age,aft_age_min_95ci,aft_age_plus_95ci,Dpar
SPC-01,SPC01-1,830,850,840,208.1964111328,-121.4506225586,285.1076660156,
SPC-01,SPC01-1,830,850,840,284.5688781738,-209.4999847412,749.0184936523,
SPC-01,SPC01-1,830,850,840,394.9703369141,-231.0280456543,533.9614868164,
SPC-01,SPC01-1,830,850,840,252.8912506104,-73.6154556274,103.0203552246,
SPC-01,SPC01-1,830,850,840,77.1215057373,-69.4527587891,663.1608276367,
SPC-01,SPC01-1,830,850,840,201.3637695313,-81.8285522461,136.3963623047,
SPC-01,SPC01-1,830,850,840,411.6060791016,-167.9084320068,277.575378418,
SPC-01,SPC01-1,830,850,840,0,0,340.0059204102,
SPC-01,SPC01-1,830,850,840,483.6552429199,-206.3353729248,350.2402954102,
SPC-01,SPC01-1,830,850,840,476.5483093262,-272.3518981934,606.3462524414,
SPC-01,SPC01-2,1143,1170,1156.5,314.1031188965,-124.6754379272,203.5034942627,
SPC-01,SPC01-2,1143,1170,1156.5,67.3723526001,-13.759396553,17.267539978,
SPC-01,SPC01-2,1143,1170,1156.5,316.2317504883,-192.9943237305,477.1884155273,
SPC-01,SPC01-2,1143,1170,1156.5,32.3303375244,-28.4614181519,233.5545043945,
SPC-01,SPC01-2,1143,1170,1156.5,170.5848236084,-95.3940048218,212.8735046387,
SPC-01,SPC01-2,1143,1170,1156.5,54.1002883911,-12.6620960236,16.5100669861,
SPC-01,SPC01-2,1143,1170,1156.5,128.3598632813,-97.1011505127,386.8989868164,
SPC-01,SPC01-2,1143,1170,1156.5,402.0663757324,-174.8761444092,302.3276367188,
SPC-01,SPC01-2,1143,1170,1156.5,128.3598632813,-117.2141036987,1225.6828613281,
SPC-01,SPC01-3,2446,2446,2446,142.7623443604,-49.8091964722,76.0503921509,
SPC-01,SPC01-3,2446,2446,2446,390.8971557617,-232.5694122314,550.1445922852,
SPC-01,SPC01-3,2446,2446,2446,155.4477233887,-37.2143440247,48.7435302734,
SPC-01,SPC01-3,2446,2446,2446,381.1646118164,-152.9994812012,250.6880187988,
SPC-01,SPC01-3,2446,2446,2446,326.068359375,-106.7203216553,156.7339019775,
SPC-01,SPC01-3,2446,2446,2446,66.8175735474,-30.4763298035,55.7923851013,
SPC-01,SPC01-3,2446,2446,2446,53.5093383789,-29.0540599823,63.2605323792,
SPC-01,SPC01-3,2446,2446,2446,264.8879089355,-60.0104598999,77.1273803711,
SPC-01,SPC01-3,2446,2446,2446,183.7523651123,-37.8264160156,47.4572257996,
